name,pyname
名字,拼音名字
布袍,bu pao
百衲衣,bai nayi
百宝衣,bai baoyi
百褶裙,bai zhequn
白道袍,bai daopao
白布衣,bai buyi
白棉袍,bai mianpao
白金丝袍,bai jinsipao
白布裙,bai buqun
白羽衣,bai yuyi
碧纹裙,bi wenqun
白泽战袍,bai zezhanpao
斑斓战袍,banlan zhanpao
豹纹战袍,baowen zhanpao
百变菱枪 ,baibian lingqiang
霸王枪 ,bawang qiang
白玉竹棒,baiyu zhubang
碧玉杖,biyu zhang
碧水剑,bishui jian
白剑 ,bai jian
捕仙网,boxian wang
朝服,chao fu
灿银连环甲,canyin lianhuanjia
朝鞋,chao xie
长袍,chang pao
长裙,chang qun
彩绘龙袍,caihui longpao
草绿棉袍,caolv mianpao
彩冠,cai guan
出跸刀,chubi dao
长枪,chang qiang
长矛,chang mao
禅杖,shan zhang
长剑,chang jian
长青剑,changqing jian
长歌剑,changge jian
承影剑,chengying jian
长鞭,chang bian
长索,chang suo
斗笠,dou li
大罗天衣,daluo tianyi
大刀,da dao
短戟,duan xi
短缨枪,duanying qiang
毒针,du zhen
断魂砂,duanhunsha
打狗棒,dagoubang
丹青剑,danqingjian
定世鞭,dingshibian
鹅黄僧袍,ehuangsengpao
鹅黄丝袍,ehuangsipao
鳄嘴剪 ,鳄zuijian
绯红丝裙,绯hongsiqun
粉红罗裙,fenhongluoqun
风袍,fengpao
法刀,fadao
飞刀,feidao
飞蝗刀,feihuangdao
飞环,feihuan
浮云剑,fuyunjian
覆雨剑,fuyujian
飞仙剑,feixianjian
飞挝,feiwo
官服,guanfu
宫裙,gongqun
钢刀,gangdao
钢抓,gangzhua
赶月剑,ganyuejian
钢骨伞,ganggusan
鬼索,guisuo
归藏鞭,guicangbian
鬼王鞭,guiwangbian
胡服,hufu
黑布衣,heibuyi
灰布衣,huibuyi
灰道衣,huidaoyi
灰布袍,huibupao
灰道袍,huidaopao
黑布袍,heibupao
黑棉袍,heimianpao
黑丝裙,heisiqun
黑纱裙,heishaqun
红布袍,hongbupao
红 丝 袍,hong si pao
红 绸 裙,hong chou qun
黄道袍,huangdaopao
黄棉裙,huangmianqun
黄羽衣,huangyuyi
虎纹战袍,huwenzhanpao
黑麻布袍,heimabupao
红衣袈裟,hongyi袈裟
黄布僧袍,huangbusengpao
灰布僧袍,huibusengpao
湖青丝袍,huqingsipao
黑道袍,heidaopao
皇冠,huangguan
红枪,hongqiang
黄竹棒,huangzhubang
寒玉棒,hanyubang
含光剑,hanguangjian
黑龙鞭,heilongbian
锦袍,jinpao
绛纱裙,绛shaqun
金丝裙,jinsiqun
锦 袍,jin pao
金带,jindai
金刀,jindao
金钱刀,jinqiandao
金枪,jinqiang
金蛇锥,jinshezhui
金算珠,jinsuanzhu
金刚杵,jingang杵
金蛇剑,jinshejian
金龙鞭,jinlongbian
狂沙刀,kuangshadao
蓝缎战甲,landuanzhanjia
蓝麻衣,lanmayi
蓝布衣,lanbuyi
蓝布袍,lanbupao
蓝道袍,landaopao
蓝羽衣,lanyuyi
绿道袍,lvdaopao
绿棉裙,lvmianqun
蓝麻布袍,lanmabupao
链子刀,lianzidao
龙头拐杖,longtouguaizhang
狼牙棒,langyabang
流星剑,liuxingjian
麻布衣,mabuyi
麻黄衫,mahuangshan
麻布袍,mabupao
棉布袍,mianbupao
麻黄僧袍,mahuangsengpao
木棉架裟,mumianjia裟
木拖鞋/斗笠,mutuoxie/dou笠
木刀,mudao
木棍,mugun
魔刀,modao
美人扇,meirenshan
女道袍,nvdaopao
瑞牛战袍,ruiniuzhanpao
瑞马战袍,ruimazhanpao
霓虹羽衣,nihongyuyi
鸟啄击,niaozhuoji
皮甲,pijia
破布衣,pobuyi
破棉袄,pomianao
破棉袍,pomianpao
判官笔,panguanbi
青缎锁子甲,qingduansuozijia
青铜铠甲,qingtong铠jia
囚服,qiufu
青麻衣,qingmayi
青布衣,qingbuyi
青布袍,qingbupao
青道袍,qingdaopao
青道衣,qingdaoyi
青绫裙,qing绫qun
青棉裙,qingmianqun
青羽衣,qingyuyi
青丝裙 ,qingsiqun
千褶裙,qian褶qun
青丝绸袍,qingsichoupao
青麻布衣,qingmabuyi
青麻布袍,qingmabupao
青布僧袍,qingbusengpao
青缎丝袍,qingduansipao
青竹棒,qingzhubang
青锋剑,qingfengjian
瑞牛战袍 ,ruiniuzhanpao
端马战袍,duanmazhanpao
壬丙剑,renbingjian
十袋布衣,shidaibuyi
素白棉袍,subaimianpao
蛇形矛,shexingmao
蛇刺,sheci
色空剑,sekongjian
丝巾,sijin
太监服,taijianfu
天蓝棉袍,tianlanmianpao
天蓝丝袍,tianlansipao
团龙黄袍,tuanlonghuangpao
头巾,toujin
天师道袍,tianshidaopao
太极道袍,taijidaopao
天雷刀,tianleidao
天魔斩,tianmozhan
天兵宝刀,tianbingbaodao
桃木刀,taomudao
突厥腰刀,tu厥yaodao
铁蒺藜,tie蒺藜
铜棍,tonggun
铁棍,tiegun
铁笛,tiedi
天夏剑,tianxiajian
天下剑,tianxiajian
天魔带,tianmodai
武士服,wushifu
文士服,wenshifu
五彩云裳,wucaiyunshang
孝服,xiaofu
星袍,xingpao
雪白丝袍,xuebaisipao
雪白丝裙,xuebaisiqun
销魂彩衣,xiaohuncaiyi
修罗刀,xiuluodao
袖箭,xiujian
降魔杵,jiangmo杵
湘竹棒,xiangzhubang
侠客剑,xiakejian
宵练剑,xiaolianjian
宣花大斧,xuanhuadafu
云袍,yunpao
银袍,yinpao
羊皮袄,yangpiao
衙役服,yayifu
银龙衫,yinlongshan
夜行衣,yexingyi
夜行服,yexingfu
月白丝袍,yuebaisipao
月白丝裙,yuebaisiqun
鹰纹战袍,yingwenzhanpao
银狮战袍,yinshizhanpao
银罗团花袍,yinluotuanhuapao
阴阳一气袍,yinyangyiqipao
银罗团花战袍,yinluotuanhuazhanpao
腰带/彩冠,yaodai/caiguan
鹰刀,yingdao
银月刀,yinyuedao
圆月弯刀,yuanyuewandao
燕子刀,yanzidao
银龙杖,yinlongzhang
阴阳剑,yinyangjian
英雄剑,yingxiongjian
棕布衣,zongbuyi
紫金刀,zijindao
诛仙刀,zhuxiandao
竹棒,zhubang
追风剑,zhuifengjian
真武剑,zhenwujian
绛纱裙,绛shaqun
金丝裙,jinsiqun
锦 袍,jin pao
金带,jindai
金刀,jindao
金钱刀,jinqiandao
金枪,jinqiang
金蛇锥,jinshezhui
金算珠,jinsuanzhu
金刚杵,jingang杵
金蛇剑,jinshejian
金龙鞭,jinlongbian
狂沙刀,kuangshadao
蓝缎战甲,landuanzhanjia
蓝麻衣,lanmayi
蓝布衣,lanbuyi
蓝布袍,lanbupao
蓝道袍,landaopao
蓝羽衣,lanyuyi
绿道袍,lvdaopao
绿棉裙,lvmianqun
蓝麻布袍,lanmabupao
链子刀,lianzidao
龙头拐杖,longtouguaizhang
狼牙棒,langyabang
流星剑,liuxingjian
麻布衣,mabuyi
麻黄衫,mahuangshan
麻布袍,mabupao
棉布袍,mianbupao
麻黄僧袍,mahuangsengpao
木棉架裟,mumianjia裟
木拖鞋/斗笠,mutuoxie/dou笠
木刀,mudao
木棍,mugun
魔刀,modao
美人扇,meirenshan
女道袍,nvdaopao
瑞牛战袍,ruiniuzhanpao
瑞马战袍,ruimazhanpao
霓虹羽衣,nihongyuyi
鸟啄击,niaozhuoji
皮甲,pijia
破布衣,pobuyi
破棉袄,pomianao
破棉袍,pomianpao
判官笔,panguanbi
青缎锁子甲,qingduansuozijia
